"address";"address"
"Av. Paulista";228
"Av. Marginal Tietê";174
"Via Prof. Simão Faiguenboim";159
"R. da Consolação";72
"Av. Sapopemba";71
"Av. das Nações Unidas";58
"Av. do Estado";56
"Av. Raimundo Pereira de Magalhães";44
"Av. Aricanduva";42
"Av. Sen. Teotônio Vilela";42
"Viaduto do Chá";42
"Av. dos Bandeirantes";39
"R. Augusta";38
"Av. Rebouças";36
"Av. Washington Luís";35
"Av. Brg.  Luís Antônio";32
"R. Boa Vista";32
"Av. Brg. Faria Lima";31
"Av. 23 de Maio";29
"Av. Celso Garcia";26
"Av. Prof. Francisco Morato";26
"Av. Salim Farah Maluf";26
"Av. Cupecê";25
"Av. Prof.  Luiz Ignácio Anhaia Mello";25
"Av. Jornalista Roberto Marinho";24
"Av. Inajar de Souza";24
"Av. Imirim";24
"9 de Julho";23
"Av. Ragueb Chohfi";23
"Tv. Cachoeira do Jacu";23
"Av. Dona Belmira Marin";22
"Av. Cel. Sezefredo Fagundes";22
"Av. São Miguel";21
"R. Vergueiro";21
"Av. Santo Amaro";21
"R. Cel. Xavier de Toledo";21
"Av. Guarapiranga";21
"Av. Dep.  Cantidio Sampaio";20
"Av. Atlântica";19
"Av. João Dias";18
"Av. Ipiranga";18
"Av. Águia de Haia";16
"Av. Alcântara Machado";16
"Complexo Viário Ayrton Senna";15
"Av. Santos Dumont";15
"Av. Ibirapuera";15
"Pça.  da Sé";15
"Av. Prof. Abraão de Morais";15
"Av. Rangel Pestana";14
"Av. Elísio Teixeira Leite";14
"Av. Eliseu de Almeida";14
"R. São João";14
"Av. Carlos Caldeira Filho";13
"Av. Marquês de São Vicente";13
"Av. Presidente Wilson";13
"R. Dona Maria Paula";13
"Av. Cruzeiro do Sul";13
"Túnel Max Feffer";13
"R. dos Vianas";13
"Av. Gen. Ataliba Leonel";12
"Av. Júlio Buono";12
"Viaduto Santa Efigênia";12
"Pça.  Ramos De Azevedo";12
"Av. Sumaré";12
"Av. Radial Leste";12
"Av. Vila Ema";12
"Av. Dr. Arnaldo";12
"R. Voluntários da Pátria";11
"R. Líbero Badaró";11
"Av. Eng. Caetano Álvares";11
"Av. Itaquera";11
"Túnel 9 de Julho";11
"Pte. do Socorro";11
"R. Cantareira";11
"Av. Morumbi";11
"R. das Juntas Provisórias";11
"Túnel Pres. Jânio Quadros";10
