"code_line","qtd_exception_events","identification"
32769,41,"LGO. SÃO FRANCISCO / TERM. CAPELINHA"
32772,6,"TERM. PRINC. ISABEL / TERM. STO. AMARO"
32773,1,"TERM. JOÃO DIAS / JD. IBIRAPUERA"
32774,5,"TERM. CAPELINHA / SHOP. PORTAL"
32776,3,"METRÔ ANA ROSA / TERM. CAPELINHA"
32781,1,"TERM. JOÃO DIAS / CAPÃO REDONDO"
32787,2,"TERM. CAPELINHA / JD. DAS ROSAS"
32789,2,"TERM. CAPELINHA / JD. JANGADEIRO"
32790,1,"TERM. CAPELINHA / JD. MACEDÔNIA"
32791,4,"TERM. CAPELINHA / PQ. FERNANDA"
32794,2,"TERM. CAPELINHA / JD. MITSUTANI"
32796,1,"TERM. CAPELINHA / JD. VALE DAS VIRTUDES"
32797,6,"TERM. JOÃO DIAS / JD. CAPELINHA"
32798,4,"TERM. JOÃO DIAS / JD. INGÁ"
32800,1,"TERM. JOÃO DIAS / JD. NOVO ORIENTE"
32805,171,"TERM. PRINC. ISABEL / CHÁC. SANTANA"
32813,31,"PÇA. DA SÉ / CHÁC. SANTANA"
32814,5,"TERM. BANDEIRA / TERM. STO. AMARO"
32816,38,"TERM. PQ. D. PEDRO II / TERM. STO. AMARO"
32820,18,"TERM. STO. AMARO / TERM. CAPELINHA"
32824,1,"STO. AMARO / CAPÃO REDONDO"
32825,8,"TERM. BANDEIRA / TERM. JOÃO DIAS"
32826,16,"TERM. PQ. D. PEDRO II / TERM. JOÃO DIAS"
32827,8,"TERM. BANDEIRA / TERM. CAPELINHA"
32829,9,"TERM. BANDEIRA / TERM. CAPELINHA"
32836,2,"METRÔ SÃO JUDAS / TERM. JOÃO DIAS"
32837,15,"PÇA. DO CORREIO / SESC/ORION"
32838,47,"PÇA. DA SÉ / PQ. RES. COCAIA"
32846,10,"METRÔ BRÁS / TERM. GRAJAÚ"
32849,17,"LGO. SÃO FRANCISCO / VL. SÃO JOSÉ"
32852,5,"TERM. GRAJAÚ / JD. NORONHA"
32855,9,"TERM. STO. AMARO / JD. ICARAÍ"
32858,1,"TERM. STO. AMARO / JD. GRAUNA"
32860,3,"TERM. GRAJAÚ / JD. SÃO BERNARDO"
32869,10,"PINHEIROS / GRAJAÚ"
32871,4,"PINHEIROS / VL. SÃO JOSÉ"
32872,1,"TERM. STO. AMARO / PQ. AMÉRICA"
32876,1,"METRÔ JABAQUARA / CENTRO SESC"
32879,1,"METRÔ VL. MARIANA / TERM. GRAJAÚ"
32884,2,"TERM. PQ. D. PEDRO II / TERM. CASA VERDE"
32885,4,"ACLIMAÇÃO / TERM. PRINC. ISABEL"
32892,2,"ACLIMAÇÃO / TERM. PRINC. ISABEL"
32897,79,"LUZ / TERM. A. E. CARVALHO"
32900,34,"PÇA. DO CORREIO / SÃO MIGUEL"
32902,3,"METRÔ ARTUR ALVIM / TERM. A. E. CARVALHO"
32903,1,"TERM. PQ. D. PEDRO II / JD. DANFER"
32907,1,"TERM. ARICANDUVA / BURGO PAULISTA"
32908,8,"METRÔ ITAQUERA / JD. STO. ANTÔNIO"
32910,2,"TERM. PQ. D. PEDRO II / VL. MARA"
32912,1,"METRÔ TATUAPÉ / ERMELINO MATARAZZO"
32922,11,"PENHA / VL. PARANAGUÁ"
32923,5,"CERET / TERM. A. E. CARVALHO"
32926,11,"TERM. SÃO MATEUS / TERM. A. E. CARVALHO"
32927,3,"METRÔ ITAQUERA / VL. MARA"
32939,4,"LGO. SÃO FRANCISCO / JD. ÂNGELA"
32943,2,"SHOP. INTERLAGOS / JD. HERCULANO"
32944,9,"TERM. STO. AMARO / TERM. CAPELINHA"
32945,2,"JD. NOVA ERA / TERM. VARGINHA"
32953,7,"TERM. PINHEIROS / TERM. JD. ÂNGELA"
32954,2,"TERM. STO. AMARO / JD. NAKAMURA"
32956,3,"TERM. STO. AMARO / TERM. JD. JACIRA"
32964,1,"TERM. STO. AMARO / JD. ARACATI"
32975,19,"TERM. PQ. D. PEDRO II / TERM. A. E. CARVALHO"
32978,3,"TERM. ARICANDUVA / JD. COIMBRA"
32981,1,"TERM. ARICANDUVA / VL. SÃO FRANCISCO"
32987,3,"CONJ. JOSÉ BONIFÁCIO / PENHA"
32988,3,"CHÁC. BELA VISTA / METRÔ PENHA"
32990,6,"METRÔ ARTUR ALVIM / PQ. D. JOÃO NERY"
32991,1,"METRÔ ARTUR ALVIM / JD. HELENA"
32992,2,"METRÔ ARTUR ALVIM / CPTM JOSÉ BONIFÁCIO"
32999,1,"METRÔ PENHA / PARADA XV DE NOVEMBRO"
33000,17,"METRÔ VL. MARIANA / PENHA"
33001,2,"METRÔ PENHA / GUAIANAZES"
33006,1,"METRÔ PATRIARCA / GUAIANAZES"
33009,1,"METRÔ TATUAPÉ / CID. PEDRO JOSÉ NUNES"
33015,4,"METRÔ TATUAPÉ / VL. SANTANA"
33017,17,"CERET / JD. HELENA"
33018,2,"TERM. A. E. CARVALHO / VL. PROGRESSO"
33020,3,"COHAB II / JD. HELENA"
33021,1,"TERM. SÃO MATEUS / GUAIANAZES"
33026,2,"TERM. VL. CARRÃO / GUAIANAZES"
33027,3,"CPTM GUAIANAZES / TERM. SÃO MIGUEL"
33028,7,"CPTM GUAIANAZES / SÃO MIGUEL"
33030,8,"LAR ESC. SÃO FRANCISCO / METRÔ VL. MARIANA"
33032,21,"PQ. IBIRAPUERA / JD. SELMA"
33039,15,"TERM. STO. AMARO / VL. IMPÉRIO"
33040,2,"TERM. STO. AMARO / VL. GUACURI"
33042,19,"PÇA. DA SÉ / JD. IV CENTENÁRIO"
33043,1,"METRÔ CONCEIÇÃO / SHOP. SP MARKET"
33044,8,"VL. PRUDENTE / PQ. BANCÁRIO"
33045,14,"VL. PRUDENTE / VL. INDUSTRIAL"
33049,6,"SHOP. METRÔ TATUAPÉ / JD. GUAIRACÁ"
33056,34,"MOOCA / PQ. STA. MADALENA"
33058,6,"TERM. PQ. D. PEDRO II / PQ. STA. MADALENA"
33067,19,"METRÔ VL. MARIANA / JD. MARIA ESTELA II"
33070,11,"METRÔ SAÚDE / VL. LIVIERO"
33072,27,"TERM. STO. AMARO / IPIRANGA"
33074,5,"METRÔ VL. MARIANA / HELIÓPOLIS"
33075,2,"LAPA / IPIRANGA"
33077,14,"BOM RETIRO / PQ. SÃO LUCAS"
33078,16,"PÇA. ALMEIDA JR. / PQ. STA. MADALENA"
33079,6,"PÇA. ALMEIDA JR. / VL. EMA"
33086,5,"METRÔ VL. MARIANA / VL. MONUMENTO"
33089,30,"TERM. PQ. D. PEDRO II / VL. GUMERCINDO"
33090,16,"PÇA. DA REPÚBLICA / SHOP. PLAZA SUL"
33093,2,"TERM. PQ. D. PEDRO II / JD. PLANALTO"
33094,2,"VL. PRUDENTE / VL. INDUSTRIAL"
33095,17,"TERM. PQ. D. PEDRO II / ZOOLÓGICO"
33100,5,"METRÔ VL. MARIANA / JD. CLÍMAX"
33101,23,"METRÔ VL. MARIANA / JD. SÃO SAVÉRIO"
33103,6,"METRÔ SAÚDE / JD. MARIA ESTELA"
33104,6,"METRÔ STA. CRUZ / JD. CELESTE"
33105,5,"METRÔ JABAQUARA / SHOP. PLAZA SUL"
33106,14,"SHOP. IBIRAPUERA / VL. BRASILINA"
33108,6,"METRÔ PÇA. DA ÁRVORE / JD. CLÍMAX"
33110,2,"METRÔ SÃO JUDAS / JD. CLÍMAX"
33111,24,"TERM. AMARAL GURGEL / JD. DA SAÚDE"
33112,45,"TERM. PQ. D. PEDRO II / JD. SÃO SAVÉRIO"
33114,9,"TERM. PINHEIROS / SACOMÃ"
33116,33,"RIO PEQUENO / IPIRANGA"
33117,8,"POMPÉIA ATÉ VL. ROMANA / SACOMÃ"
33121,16,"TERM. PRINC. ISABEL / TERM. STO. AMARO"
33122,9,"TERM. PQ. D. PEDRO II / TERM. STO. AMARO"
33123,3,"TERM. BANDEIRA / TERM. STO. AMARO"
33126,17,"TERM. BANDEIRA / INOCOOP CAMPO LIMPO"
33128,8,"TERM. BANDEIRA / SOCORRO"
33129,12,"TERM. BANDEIRA / VL. CRUZEIRO"
33130,5,"METRÔ ANA ROSA / TERM. STO. AMARO"
33135,15,"TERM. A. E. CARVALHO / CID. KEMEL II"
33136,5,"TERM. PENHA / JD. DAS OLIVEIRAS"
33138,4,"CPTM ITAIM PAULISTA / JD. NÉLIA"
33139,5,"TERM. ARICANDUVA / CID. KEMEL"
33142,2,"TERM. PQ. D. PEDRO II / VL. NOVA CURUÇÁ"
33143,6,"TERM. ARICANDUVA / VL. CURUÇÁ"
33144,3,"TERM. PQ. D. PEDRO II / JD. NAZARÉ"
33157,1,"METRÔ PENHA / JD. ROMANO"
33158,3,"METRÔ VL. MATILDE / CID. KEMEL II"
33160,1,"METRÔ ARTUR ALVIM / JD. DAS OLIVEIRAS"
33165,3,"METRÔ TATUAPÉ / JD. ROMANO"
33166,1,"METRÔ PENHA / JD. NAZARÉ"
33170,1,"TERM. PQ. D. PEDRO II / ITAIM PAULISTA"
33174,1,"TERM. LAPA / SOL NASCENTE"
33175,1,"LAPA / HAB. TURÍSTICA"
33176,5,"LAPA / JARAGUÁ"
33180,1,"LAPA / PQ. MORRO DOCE"
33182,4,"LAPA / PERUS"
33186,5,"TERM. LAPA / VL. PIAUÍ"
33188,2,"LAPA / PQ. SÃO DOMINGOS"
33189,2,"LAPA / VL. CLARICE"
33190,1,"TERM. PINHEIROS / VL. PIAUÍ"
33191,2,"ITAIM BIBI / TERM. PIRITUBA"
33198,15,"PÇA. DO CORREIO / CID. D'ABRIL 3ª GLEBA"
33211,3,"LGO. DO PAISSANDÚ / JD. LÍBANO"
33214,1,"LGO. DO PAISSANDÚ / MANGALOT"
33222,1,"COHAB TAIPAS / PERUS"
33224,3,"METRÔ VL. MARIANA / TERM. PIRITUBA"
33226,4,"PÇA. DO CORREIO / TERM. CASA VERDE"
33229,15,"PÇA. DO CORREIO / TERM. CACHOEIRINHA"
33232,4,"ITAIM BIBI / COHAB TAIPAS"
33233,3,"ITAIM BIBI / JD. NARDINI"
33234,1,"TERM. PRINC. ISABEL / TERM. CACHOEIRINHA"
33236,35,"TERM. BANDEIRA / JD. JAQUELINE"
33237,2,"METRÔ BARRA FUNDA / RIO PEQUENO"
33239,6,"PÇA. RAMOS DE AZEVEDO / PQ. CONTINENTAL"
33240,5,"TERM. LAPA / RIO PEQUENO"
33241,1,"PINHEIROS / JD. ADALGIZA"
33244,3,"SESC POMPÉIA / PQ. CONTINENTAL"
33251,18,"METRÔ BARRA FUNDA / PINHEIROS/VILA IDA "
33253,50,"METRÔ BELÉM / JD. BONFIGLIOLI"
33255,2,"PAULISTA / COHAB EDUCANDÁRIO"
33258,20,"LGO. DA PÓLVORA / JD. MARIA LUIZA"
33264,5,"EST. DA LUZ / JD. BOA VISTA"
33266,12,"LAPA / JD. D'ABRIL"
33269,4,"METRÔ BARRA FUNDA / JD. JOÃO XXIII"
33272,2,"PÇA. RAMOS DE AZEVEDO / JD. JOÃO XXIII"
33275,4,"METRÔ ANA ROSA / JD. GUARAÚ"
33276,3,"METRÔ BARRA FUNDA / JD. ARPOADOR"
33277,2,"TERM. PRINC. ISABEL / COHAB RAPOSO TAVARES"
33284,61,"ITAIM BIBI / METRÔ SANTANA"
33287,31,"TERM. AMARAL GURGEL / JD. PERY ALTO"
33299,22,"LAPA / COHAB ANTÁRTICA"
33302,26,"METRÔ BARRA FUNDA / PEDRA BRANCA"
33307,11,"METRÔ SANTANA / VL. DIONISIA"
33310,5,"METRÔ SANTANA / JD. ANTÁRTICA"
33311,6,"SHOP. D / JD. PERY ALTO"
33312,1,"METRÔ SANTANA / LAUZANE PAULISTA"
33314,30,"SHOP. CENTER NORTE / VL.NOVA CACHOEIRINHA"
