rule,support,confidence,lift
"10, 0.1424731182795699, 0.1424731182795699, 1.0"
"11, 0.28763440860215056, 0.28763440860215056, 1.0"
"12, 0.27553763440860213, 0.27553763440860213, 1.0"
"13, 0.15591397849462366, 0.15591397849462366, 1.0"
"2, 0.12634408602150538, 0.12634408602150538, 1.0"
"4, 0.10080645161290322, 0.10080645161290322, 1.0"
"5, 0.11693548387096774, 0.11693548387096774, 1.0"
"6, 0.12231182795698925, 0.12231182795698925, 1.0"
"7, 0.19623655913978494, 0.19623655913978494, 1.0"
"8, 0.15591397849462366, 0.15591397849462366, 1.0"
"9, 0.13172043010752688, 0.13172043010752688, 1.0"
"11 12, 0.13709677419354838, 0.47663551401869153, 1.729838158194666"
