"_id";"address";"dateTime";"lat";"lng";"text";"label";"class_label";"raw_tweet";"location_type";"tokens";"affected_code_lines"
894707930217447427;"R. Augusta, 1053 - Consolação, São Paulo - SP, 01305-100, Brazil";"08/07/2017 20:52";-23.553863399999997;-46.6554619;"refer #zc liber manifestaca";"Social Event";2;"Referente manifestação Rua Augusta, pista liberada.#ZC";"ROOFTOP";"['refer', '#zc', 'liber', 'manifestaca']";"[34883, 34884, 33389, 35109, 34100]"
894696768767762432;"R. Augusta, São Paulo - SP, Brazil";"08/07/2017 20:08";-23.5569581;-46.65896770000001;"#zc evit manifestaca sent";"Social Event";2;"Manifestação interdita R. Augusta no sentido centro. Evite a região. #ZC";"GEOMETRIC_CENTER";"['#zc', 'evit', 'manifestaca', 'sent']";"[34883, 34100, 33389, 35109, 34884]"
894696059989106688;"Av. Paulista, São Paulo - SP, Brazil";"08/07/2017 20:05";-23.5632103;-46.654250299999994;"liber sent relaca #zc manifestaca";"Social Event";2;"Av. Paulista sentido R. da Consolação liberada em relação a manifestação.#ZC";"GEOMETRIC_CENTER";"['liber', 'sent', 'relaca', '#zc', 'manifestaca']";"[35229, 33377, 33443, 34660, 34149, 34694, 32772, 33224, 33258, 35148, 33357, 33075, 32885, 34134, 33275, 34108, 33117, 34109, 32892]"
894691045505675264;"Av. Paulista, São Paulo - SP, Brazil";"08/07/2017 19:45";-23.5632103;-46.654250299999994;"sent #zc masp evit altur manifestaca";"Social Event";2;"Manifestação interdita o sentido Consolação da Avenida Paulista altura do MASP. Evite a região. #ZC";"GEOMETRIC_CENTER";"['sent', '#zc', 'masp', 'evit', 'altur', 'manifestaca']";"[35229, 33377, 33443, 34660, 34149, 34694, 32772, 33224, 33258, 35148, 33357, 33075, 32885, 34134, 33275, 34108, 33117, 34109, 32892]"
894385119179534336;"Via Prof. Simão Faiguenboim, São Paulo - SP, Brazil";"08/06/2017 23:30";-23.623863500000002;-46.709926;"terc serv segund interdit vi";"Urban Event";3;"Marginal Tietê será parcialmente interditada, das 23h de segunda às 4h da terça, para serviços de manutenção viária. https://t.co/ORHVeXSAt1";"GEOMETRIC_CENTER";"['terc', 'serv', 'segund', 'interdit', 'vi']";"[33123, 32805, 34085, 34761, 35178, 33558, 34007, 34008, 32953, 32826, 32829]"
894271906152685568;"Túnel Papa João Paulo II - Centro, São Paulo - SP, Brazil";"08/06/2017 16:00";-23.5453435;-46.636912;"sant terc sent limp segund interdit";"Urban Event";3;"Túnel Papa João Paulo II será interditado, sentido Santana, das 23h30 de segunda às 4h30 de terça, para limpeza https://t.co/RPb59gvT5s";"GEOMETRIC_CENTER";"['sant', 'terc', 'sent', 'limp', 'segund', 'interdit']";"[33121, 33284, 34789, 32805, 32837, 34061, 32846, 33391, 34861, 35160, 32826, 34045]"
894093624174145536;"Av. Marginal Tietê, São Paulo - SP, Brazil";"08/06/2017 04:11";-23.5179509;-46.64946399999999;"liber via #zn apo sent";"Urban Event";3;"Marg. Tietê sentido Ayrton Senna,  pista central após Pte Jânio Quadros, via liberada. #ZN";"GEOMETRIC_CENTER";"['liber', 'via', '#zn', 'apo', 'sent']";"[]"
894064392937107456;"Av. Marginal Tietê, São Paulo - SP, Brazil";"08/06/2017 02:15";-23.5179509;-46.64946399999999;"via #zn apo sent interferenc refer";"Urban Event";3;"Referente interferência pista central da Marg. Tietê, sentido Ayrton Senna, após Pte Jânio Quadros, interdita uma faixa da via. #ZN";"GEOMETRIC_CENTER";"['via', '#zn', 'apo', 'sent', 'interferenc', 'refer']";"[]"
894033626597384192;"Av. Marginal Tietê, São Paulo - SP, Brazil";"08/06/2017 00:13";-23.5179509;-46.64946399999999;"#zn apo sent faix interferenc dua evit";"Urban Event";3;"Interferência interdita duas faixas da pista central da Marg. Tietê, sentido Ayrton Senna, após Pte. Jânio Quadros. Evite a região. #ZN";"GEOMETRIC_CENTER";"['#zn', 'apo', 'sent', 'faix', 'interferenc', 'dua', 'evit']";"[]"
894022730881916930;"Túnel 9 de Julho, São Paulo - SP, Brazil";"08/05/2017 23:30";-23.562425199999996;-46.656176200000004;"sent doi limp segund interdit";"Urban Event";3;"Túnel Daher Elias Cutait será interditado nos dois sentidos, das 23h30 de domingo às 4h30 de segunda, para limpeza https://t.co/tPqt7sjppD";"GEOMETRIC_CENTER";"['sent', 'doi', 'limp', 'segund', 'interdit']";"[33284, 32772, 34694, 35207, 34061, 34062, 34831, 34064, 35229, 33443, 34085, 32805, 34218, 32814, 33075, 32825, 32826, 32827, 34233, 32829, 34108, 34109, 35011, 33224, 35148, 33357, 33236, 34134, 34139, 33117, 33245, 33377, 33123, 34660, 34789, 33126, 35174, 33128, 33129, 34149, 33258, 32885, 33275, 32892, 34685]"
893608097876520960;"R. Augusta, 1053 - Consolação, São Paulo - SP, 01305-100, Brazil";"08/04/2017 20:02";-23.553863399999997;-46.6554619;"liber mov refer #zc manifestaca";"Social Event";2;"Referente manifestação em movimento rua Augusta, pista liberada.#ZC";"ROOFTOP";"['liber', 'mov', 'refer', '#zc', 'manifestaca']";"[34883, 34884, 33389, 35109, 34100]"
893598474880507905;"Av. Paulista, 2439 - Bela Vista, São Paulo - SP, 01311-300, Brazil";"08/04/2017 19:24";-23.556212600000002;-46.6624787;"liber sent evit manifest desc refer #zc manifestaca";"Social Event";2;"Referente Manifestação Av. Paulista, pista liberada, manifestantes agora descendo rua Augusta sentido centro.Evite região #ZC";"ROOFTOP";"['liber', 'sent', 'evit', 'manifest', 'desc', 'refer', '#zc', 'manifestaca']";"[33280, 32772, 34694, 35207, 34832, 33425, 34195, 34840, 35229, 33443, 33328, 33457, 34098, 33075, 34101, 34102, 34108, 34109, 35011, 33224, 35148, 33357, 35276, 35280, 33237, 34134, 33239, 34140, 33117, 33245, 34144, 33377, 34660, 34149, 33253, 33255, 33258, 33131, 33264, 32885, 33398, 33272, 33275, 32892, 33277, 35196]"
893594097579171842;"Av. Paulista, São Paulo - SP, Brazil";"08/04/2017 19:06";-23.5632103;-46.654250299999994;"junt sent masp evit mov #zc manifestaca";"Social Event";2;"Manifestação em movimento interdita o sentido consolação da Av. Paulista junto ao MASP. Evite região #ZC";"GEOMETRIC_CENTER";"['junt', 'sent', 'masp', 'evit', 'mov', '#zc', 'manifestaca']";"[35229, 33377, 33443, 34660, 34149, 34694, 32772, 33224, 33258, 35148, 33357, 33075, 32885, 34134, 33275, 34108, 33117, 34109, 32892]"
893557169974587392;"Av. Paulista, São Paulo - SP, Brazil";"08/04/2017 16:40";-23.5632103;-46.654250299999994;"liber via relaca #zc manifestaca";"Social Event";2;"Avenida Paulista, via liberada em relação a manifestação. #ZC";"GEOMETRIC_CENTER";"['liber', 'via', 'relaca', '#zc', 'manifestaca']";"[35229, 33377, 33443, 34660, 34149, 34694, 32772, 33224, 33258, 35148, 33357, 33075, 32885, 34134, 33275, 34108, 33117, 34109, 32892]"
893530138666823680;"Av. Paulista, São Paulo - SP, Brazil";"08/04/2017 14:52";-23.5632103;-46.654250299999994;"sent faix mov manifest evit refer #zc manifestaca";"Social Event";2;"Referente manifestação:  Manifestantes em movimento interdita três faixas do sentido Consolação da Av. Paulista. Evite a região. #ZC";"GEOMETRIC_CENTER";"['sent', 'faix', 'mov', 'manifest', 'evit', 'refer', '#zc', 'manifestaca']";"[35229, 33377, 33443, 34660, 34149, 34694, 32772, 33224, 33258, 35148, 33357, 33075, 32885, 34134, 33275, 34108, 33117, 34109, 32892]"
893522892444626944;"Via Prof. Simão Faiguenboim, São Paulo - SP, Brazil";"08/04/2017 14:23";-23.623863500000002;-46.709926;"liber via parais sent mov manifest evit refer manifestaca";"Social Event";2;"Referente manifestação, Marg. Pinheiros, via liberada. Manifestantes em movimento interdita sentido Paraíso da Av. Paulista. Evite região.";"GEOMETRIC_CENTER";"['liber', 'via', 'parais', 'sent', 'mov', 'manifest', 'evit', 'refer', 'manifestaca']";"[33123, 32805, 34085, 34761, 35178, 33558, 34007, 34008, 32953, 32826, 32829]"
893492273878622208;"Via Prof. Simão Faiguenboim, São Paulo - SP, Brazil";"08/04/2017 12:22";-23.623863500000002;-46.709926;"#z sent manifest refer estai manifestaca ocup";"Social Event";2;"Referente a manifestação, Marginal Pinheiros, manifestantes ocupam totalmente o sentido bairro da pte Octávio F. de Oliveira (Estaiada). #ZS";"GEOMETRIC_CENTER";"['#z', 'sent', 'manifest', 'refer', 'estai', 'manifestaca', 'ocup']";"[33123, 32805, 34085, 34761, 35178, 33558, 34007, 34008, 32953, 32826, 32829]"
893485333127602180;"Via Prof. Simão Faiguenboim, São Paulo - SP, Brazil";"08/04/2017 11:54";-23.623863500000002;-46.709926;"apo sent #zo unic mov manifestaca";"Social Event";2;"Manifestação em movimento, Marginal Pinheiros, sentido Interlagos, pista única, após ponte Cidade Universitária. #ZO";"GEOMETRIC_CENTER";"['apo', 'sent', '#zo', 'unic', 'mov', 'manifestaca']";"[33123, 32805, 34085, 34761, 35178, 33558, 34007, 34008, 32953, 32826, 32829]"
893414115213021184;"Av. Rebouças, São Paulo - SP, Brazil";"08/04/2017 07:11";-23.565678;-46.68075409999999;"liber via sent #zo prox relaca interferenc carolin";"Urban Event";3;"Av Rebouças sentido centro, próximo da R Maria Carolina, via liberada em relação a interferência. #ZO";"GEOMETRIC_CENTER";"['liber', 'via', 'sent', '#zo', 'prox', 'relaca', 'interferenc', 'carolin']";"[33280, 34144, 35011, 34660, 33253, 34694, 33258, 33131, 35276, 34832, 33264, 34098, 34840, 33272, 33275, 35196, 33277, 35197]"
893413235151568896;"Av. Interlagos, São Paulo - SP, Brazil";"08/04/2017 07:08";-23.6825033;-46.689999;"liber #z via sent monsenh relaca interferenc junt";"Urban Event";3;"Av Interlagos sentido centro, junto a R Monsenhor de Freitas, via liberada em relação a interferência. #ZS";"GEOMETRIC_CENTER";"['liber', '#z', 'via', 'sent', 'monsenh', 'relaca', 'interferenc', 'junt']";"[33952, 34049, 34209, 34053, 32874, 32876, 32877, 32846, 33966, 33936, 33934, 32882, 33042, 33550, 35160, 33914, 34907, 35167]"
893412121492455424;"Av. dos Bandeirantes, São Paulo - SP, Brazil";"08/04/2017 07:03";-23.6126183;-46.671439899999996;"liber #z via sent prox relaca interferenc mallet";"Urban Event";3;"Av dos Bandeirantes sentido Marginal, próximo da R João Carlos Mallet, via liberada em relação a interferência. #ZS";"GEOMETRIC_CENTER";"['liber', '#z', 'via', 'sent', 'prox', 'relaca', 'interferenc', 'mallet']";"[32833, 34210, 33122, 32838, 32837, 32966, 34246, 32776, 34758, 34090, 32939, 35175, 32813, 34062, 32879, 33966, 32849, 34045, 32831]"
893407562762260482;"Av. Rebouças, São Paulo - SP, Brazil";"08/04/2017 06:45";-23.565678;-46.68075409999999;"sent #zo faix prox interferenc interdit dua evit dev carolin";"Urban Event";3;"Av Rebouças sentido centro, duas faixas interditadas próximo da R Maria Carolina, devido interferência. Evite a região. #ZO";"GEOMETRIC_CENTER";"['sent', '#zo', 'faix', 'prox', 'interferenc', 'interdit', 'dua', 'evit', 'dev', 'carolin']";"[33280, 34144, 35011, 34660, 33253, 34694, 33258, 33131, 35276, 34832, 33264, 34098, 34840, 33272, 33275, 35196, 33277, 35197]"
893400884247482369;"Av. Interlagos, São Paulo - SP, Brazil";"08/04/2017 06:19";-23.6825033;-46.689999;"#z sent monsenh interferenc interdit evit junt dev";"Urban Event";3;"Av Interlagos sentido centro, interditada junto a R Monsenhor de Freitas, devido interferência. Evite a região. #ZS";"GEOMETRIC_CENTER";"['#z', 'sent', 'monsenh', 'interferenc', 'interdit', 'evit', 'junt', 'dev']";"[33952, 34049, 34209, 34053, 32874, 32876, 32877, 32846, 33966, 33936, 33934, 32882, 33042, 33550, 35160, 33914, 34907, 35167]"
893399220589400064;"Av. dos Bandeirantes, São Paulo - SP, Brazil";"08/04/2017 06:12";-23.6126183;-46.671439899999996;"#z sent faix prox interferenc interdit dua evit dev mallet";"Urban Event";3;"Av dos Bandeirantes sentido Marginal, próximo da R João Carlos Mallet, duas faixas interditadas devido interferência. Evite a região. #ZS";"GEOMETRIC_CENTER";"['#z', 'sent', 'faix', 'prox', 'interferenc', 'interdit', 'dua', 'evit', 'dev', 'mallet']";"[32833, 34210, 33122, 32838, 32837, 32966, 34246, 32776, 34758, 34090, 32939, 35175, 32813, 34062, 32879, 33966, 32849, 34045, 32831]"
893307117691691008;"R. Leopoldo Couto de Magalhães Júnior - Itaim Bibi, São Paulo - SP, Brazil";"08/04/2017 00:06";-23.5882562;-46.6806217;"liber #z via";"Urban Event";3;"Rua Leopoldo Couto Magalhães Junior, via liberada  #ZS";"GEOMETRIC_CENTER";"['liber', '#z', 'via']";"[33284, 34788]"
893275412041576449;"Túnel Pres. Jânio Quadros, São Paulo - SP, Brazil";"08/03/2017 22:00";-23.5877258;-46.693411600000005;"sent limp sab interdit sext";"Urban Event";3;"Túnel Presidente Jânio Quadros será interditado, sentido bairro, das 23h30 de sexta às 4h30 de sábado, para limpeza… https://t.co/1UBT4QhL6g";"GEOMETRIC_CENTER";"['sent', 'limp', 'sab', 'interdit', 'sext']";"[33123, 32805, 34085, 35178, 32953, 32826, 32829]"
