"cd_linha";"min";"max";"mean";"median";"var";"std";"count";"count_nonzero";"nonzero_percentage";"filename";"dateTime"
33058;34;50;43.375;43.0;23.982142857142858;4.897156609415596;8;8;0.0;"201707011600_201707011700";"2017-07-14 16:45:00"
33093;3;53;37.125;43.0;346.4107142857143;18.612112031838684;8;8;0.0;"201707011600_201707011700";"2017-07-14 16:45:00"
33095;0;52;35.029411764705884;37.0;140.45365418894832;11.851314449838394;34;33;2.941176470588236;"201707011600_201707011700";"2017-07-14 16:45:00"
33441;0;56;24.58823529411765;26.0;457.3823529411764;21.386499314782128;17;12;29.411764705882348;"201707011600_201707011700";"2017-07-14 16:45:00"
34396;17;50;32.8;34.0;203.7;14.27235089254745;5;5;0.0;"201707011600_201707011700";"2017-07-14 16:45:00"
34419;0;51;43.36842105263158;49.0;162.979843225084;12.766355910168102;95;89;6.315789473684208;"201707011600_201707011700";"2017-07-14 16:45:00"
34619;0;51;42.09615384615385;49.0;208.20625942684762;14.429354089038345;52;49;5.769230769230771;"201707011600_201707011700";"2017-07-14 16:45:00"
34977;0;51;38.5609756097561;47.0;286.0524390243902;16.913084846484693;41;35;14.634146341463417;"201707011600_201707011700";"2017-07-14 16:45:00"
33058;11;63;37.35294117647059;36.0;356.6176470588234;18.884322785284713;17;17;0.0;"201707021600_201707021700";"2017-07-14 16:45:00"
33093;7;52;34.25;40.0;296.7857142857142;17.227469758664917;8;8;0.0;"201707021600_201707021700";"2017-07-14 16:45:00"
33095;0;55;30.97222222222222;36.0;248.65634920634918;15.76884108634332;36;32;11.111111111111116;"201707021600_201707021700";"2017-07-14 16:45:00"
33441;0;59;28.88888888888889;19.0;561.3611111111111;23.693060399853607;9;7;22.22222222222222;"201707021600_201707021700";"2017-07-14 16:45:00"
34419;0;51;41.83606557377049;49.0;188.20601092896172;13.71881958948953;61;57;6.5573770491803245;"201707021600_201707021700";"2017-07-14 16:45:00"
34977;0;49;36.333333333333336;48.0;348.46153846153845;18.667124536509057;27;26;3.703703703703709;"201707021600_201707021700";"2017-07-14 16:45:00"
33058;11;42;33.0;38.0;124.28571428571432;11.1483502943581;8;8;0.0;"201707031600_201707031700";"2017-07-14 16:45:00"
33093;33;51;44.5;46.0;28.28571428571428;5.318431562567509;8;8;0.0;"201707031600_201707031700";"2017-07-14 16:45:00"
