text;label;class_label;address;lat;lng;dateTime
Conhea o curso Inclusão da Pessoa com Deficiência e Mobilidade Reduzida. Informe-se em: https://t.co/PrXlWMuaWT https://t.co/drR7hk6zGo;Irrelevante;0;;;;08/08/2017 19:00
@luizmilanese ... Denúncia de má conduta de funcionário da CET: https://t.co/0kVk1pmqWK Agradecemos o contato.;Irrelevante;0;;;;08/08/2017 17:10
@luizmilanese Olá, por favor formalize sua reclamação no Portal #SP156 > Trânsito > Conduta de funcionário da CET > (+);Irrelevante;0;;;;08/08/2017 17:09
@louco_positivo Olá, por favor, ligue grátis 1188 e solicite fiscalização. Agradecemos o contato.;Irrelevante;0;;;;08/08/2017 17:05
@panoramazsul Olá, por favor, solicite manutenção semafórica ligando grátis 1188, o serviço funciona 24hs. Agradecemos o contato.;Irrelevante;0;;;;08/08/2017 17:02
@HelderNRP Olá, veja aqui mapa, horário de funcionamento e outras informações sobre o rodízio: https://t.co/3pcJkhvQSM Obrigado.;Irrelevante;0;;;;08/08/2017 16:29
Dia 08 de Agosto: Dia mundial do pedestre! _Ù_¦_Ù_¦‰Û‰ªÛ•ã https://t.co/g4VDW3fCJj;Irrelevante;0;;;;08/08/2017 16:00
@Nani_Franco Boa tarde! Sua informação foi cadastrada, agradecemos o contato.;Irrelevante;0;;;;08/08/2017 15:17
Respeitar as leis de trânsito é uma prova de amor a vida. #TrânsitoSeguro https://t.co/d304xCNStC;Irrelevante;0;;;;08/08/2017 12:00
@dstur Olá, para solicitar fiscalização, por favor, ligue grátis 1188. O serviço funciona 24hs. Obrigado.;Irrelevante;0;;;;08/08/2017 10:43
@albertoargentin Olá, por favor, ligue grátis 1188 e solicite fiscalização, o serviço funciona 24hs. Agradecemos o contato.;Irrelevante;0;;;;08/08/2017 10:40
@danielvenneri76 ... > Serviço > Manutenção de sinalização horizontal (pintura de solo): https://t.co/0kVk1pmqWK obrigado.;Irrelevante;0;;;;08/08/2017 10:12
@danielvenneri76 Olá, p/ esta solicitação, por favor, acesse o Portal SP156 Trânsito > Assunto > Manutenção da sinalização de trânsito (+);Irrelevante;0;;;;08/08/2017 10:11
_Ù_Ñ Saiba mais sobre o uso da cadeirinha e de outros dispositivos, para acomodar a criança no banco de forma segura.... https://t.co/C2slycGVnz;Irrelevante;0;;;;08/08/2017 10:00
@juliogavioes Olá, por favor, solicite fiscalização ligando grátis 1188, o serviço funciona 24hs. Agradecemos o contato.;Irrelevante;0;;;;08/08/2017 09:55
@ail_juniorr ... aos usuários do trânsito, inclusive ciclistas: https://t.co/HgeD1vkUOG Agradecemos o contato.;Irrelevante;0;;;;08/08/2017 09:50
@ail_juniorr ...  do Art 21 do CTB: fiscaliza, opera e promove a educação no trânsito. Veja os programas e cursos grátis dirigidos (+);Irrelevante;0;;;;08/08/2017 09:49
@ail_juniorr Olá, a CET, como órgão responsável pela gestão do trânsito no municópio de São Paulo, atende às determinações (+);Irrelevante;0;;;;08/08/2017 09:49
@sapizzi Bom dia, sua solicitação foi cadastrada, agradecemos o contato.;Irrelevante;0;;;;08/08/2017 09:03
@reinorvieira Bom dia, sua solicitação foi cadastrada, agradecemos o contato.;Irrelevante;0;;;;08/08/2017 08:54
@marii_1039 Olá, sua informação foi registrada para providência. Agradecemos o contato.;Irrelevante;0;;;;08/08/2017 03:08
"Conheça o curso ""Ações Seguras no Trânsito"". Inscreva-se em: https://t.co/pxFMEHHX7Z https://t.co/O1NofC6MsG";Irrelevante;0;;;;07/08/2017 23:30
Na cidade que não para, os caminhões são fundamentais no abastecimento e prestação de serviços. Saiba mais:... https://t.co/l8gkPUIVBB;Irrelevante;0;;;;07/08/2017 22:00
Referente manifestação Rua Augusta, pista liberada.#ZC;Irrelevante;0;R. Augusta, São Paulo - SP, 01412-100, Brazil;-82.341.978;-357.484.807;07/08/2017 20:52
Manifestação interdita R. Augusta no sentido centro. Evite a região. #ZC;Evento Social;2;R. Augusta, São Paulo - SP, 01412-100, Brazil;-82.341.978;-357.484.807;07/08/2017 20:08
Av. Paulista sentido R. da Consolação liberada em relação a manifestação.#ZC;Irrelevante;0;Av. Paulista, São Paulo - SP, Brazil;-235.632.103;-466.542.503;07/08/2017 20:05
Manifestação interdita o sentido Consolação da Avenida Paulista altura do MASP. Evite a região. #ZC;Evento Social;2;Av. Paulista, São Paulo - SP, Brazil;;;07/08/2017 19:45
