"Parte 1: RandomForestClassifier; naive_bayes.MultinomialNB; decision tree; logistic regression";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;mean_fit_time;mean_score_time;mean_test_accuracy;mean_test_f1_score;mean_test_precision;mean_test_recall;mean_train_accuracy;mean_train_f1_score;mean_train_precision;mean_train_recall;metodo;param_decisiontreeclassifier__max_depth;param_logisticregression__C;param_logisticregression__penalty;param_multinomialnb__alpha;param_randomforestclassifier__max_depth;param_randomforestclassifier__n_estimators;params;rank_test_accuracy;rank_test_f1_score;rank_test_precision;rank_test_recall;split0_test_accuracy;split0_test_f1_score;split0_test_precision;split0_test_recall;split0_train_accuracy;split0_train_f1_score;split0_train_precision;split0_train_recall;split1_test_accuracy;split1_test_f1_score;split1_test_precision;split1_test_recall;split1_train_accuracy;split1_train_f1_score;split1_train_precision;split1_train_recall;split2_test_accuracy;split2_test_f1_score;split2_test_precision;split2_test_recall;split2_train_accuracy;split2_train_f1_score;split2_train_precision;split2_train_recall;split3_test_accuracy;split3_test_f1_score;split3_test_precision;split3_test_recall;split3_train_accuracy;split3_train_f1_score;split3_train_precision;split3_train_recall;split4_test_accuracy;split4_test_f1_score;split4_test_precision;split4_test_recall;split4_train_accuracy;split4_train_f1_score;split4_train_precision;split4_train_recall;split5_test_accuracy;split5_test_f1_score;split5_test_precision;split5_test_recall;split5_train_accuracy;split5_train_f1_score;split5_train_precision;split5_train_recall;split6_test_accuracy;split6_test_f1_score;split6_test_precision;split6_test_recall;split6_train_accuracy;split6_train_f1_score;split6_train_precision;split6_train_recall;split7_test_accuracy;split7_test_f1_score;split7_test_precision;split7_test_recall;split7_train_accuracy;split7_train_f1_score;split7_train_precision;split7_train_recall;split8_test_accuracy;split8_test_f1_score;split8_test_precision;split8_test_recall;split8_train_accuracy;split8_train_f1_score;split8_train_precision;split8_train_recall;split9_test_accuracy;split9_test_f1_score;split9_test_precision;split9_test_recall;split9_train_accuracy;split9_train_f1_score;split9_train_precision;split9_train_recall;std_fit_time;std_score_time;std_test_accuracy;std_test_f1_score;std_test_precision;std_test_recall;std_train_accuracy;std_train_f1_score;std_train_precision;std_train_recall;;
0;18,74638577;1,31317482;0,974679948;0,974679948;0,974679948;0,974679948;0,997790183;0,997790183;0,997790183;0,997790183;RandomForestClassifier;;;;;;10;{'randomforestclassifier__max_depth': None, 'randomforestclassifier__n_estimators': 10};3;3;3;3;0,973600668;0,973600668;0,973600668;0,973600668;0,997864399;0,997864399;0,997864399;0,997864399;0,972431078;0,972431078;0,972431078;0,972431078;0,998087244;0,998087244;0,998087244;0,998087244;0,97710944;0,97710944;0,97710944;0,97710944;0,997752976;0,997752976;0,997752976;0,997752976;0,976437166;0,976437166;0,976437166;0,976437166;0,997641597;0,997641597;0,997641597;0,997641597;0,975434492;0,975434492;0,975434492;0,975434492;0,997845868;0,997845868;0,997845868;0,997845868;0,974097594;0,974097594;0,974097594;0,974097594;0,997641597;0,997641597;0,997641597;0,997641597;0,974260404;0,974260404;0,974260404;0,974260404;0,99771592;0,99771592;0,99771592;0,99771592;0,971419021;0,971419021;0,971419021;0,971419021;0,997864478;0,997864478;0,997864478;0,997864478;0,975087778;0,975087778;0,975087778;0,975087778;0,997548883;0,997548883;0,997548883;0,997548883;0,976923077;0,976923077;0,976923077;0,976923077;0,997938872;0,997938872;0,997938872;0,997938872;0,731319653;0,125707647;0,001792445;0,001792445;0,001792445;0,001792445;0,000152893;0,000152893;0,000152893;0,000152893;;
1;33,52032747;1,725849771;0,976184109;0,976184109;0,976184109;0,976184109;0,998876523;0,998876523;0,998876523;0,998876523;RandomForestClassifier;;;;;;20;{'randomforestclassifier__max_depth': None, 'randomforestclassifier__n_estimators': 20};2;2;2;2;0,976608187;0,976608187;0,976608187;0,976608187;0,998867203;0,998867203;0,998867203;0,998867203;0,973433584;0,973433584;0,973433584;0,973433584;0,999071478;0,999071478;0,999071478;0,999071478;0,978279031;0,978279031;0,978279031;0,978279031;0,998922914;0,998922914;0,998922914;0,998922914;0,97894385;0,97894385;0,97894385;0,97894385;0,998737233;0,998737233;0,998737233;0,998737233;0,976938503;0,976938503;0,976938503;0,976938503;0,998867224;0,998867224;0,998867224;0,998867224;0,97526738;0,97526738;0,97526738;0,97526738;0,998811513;0,998811513;0,998811513;0,998811513;0,976934648;0,976934648;0,976934648;0,976934648;0,998960094;0,998960094;0,998960094;0,998960094;0,972254722;0,972254722;0,972254722;0,972254722;0,998922954;0,998922954;0,998922954;0,998922954;0,975087778;0,975087778;0,975087778;0,975087778;0,998867287;0,998867287;0,998867287;0,998867287;0,978093645;0,978093645;0,978093645;0,978093645;0,998737327;0,998737327;0,998737327;0,998737327;0,668576447;0,122516431;0,002049678;0,002049678;0,002049678;0,002049678;9,62E-05;9,62E-05;9,62E-05;9,62E-05;;
2;49,57392018;2,239191818;0,977086606;0,977086606;0,977086606;0,977086606;0,999108645;0,999108645;0,999108645;0,999108645;RandomForestClassifier;;;;;;30;{'randomforestclassifier__max_depth': None, 'randomforestclassifier__n_estimators': 30};1;1;1;1;0,977276525;0,977276525;0,977276525;0,977276525;0,99916433;0,99916433;0,99916433;0,99916433;0,97443609;0,97443609;0,97443609;0,97443609;0,99916433;0,99916433;0,99916433;0,99916433;0,9786132;0,9786132;0,9786132;0,9786132;0,999145759;0,999145759;0,999145759;0,999145759;0,979278075;0,979278075;0,979278075;0,979278075;0,998978644;0,998978644;0,998978644;0,998978644;0,978108289;0,978108289;0,978108289;0,978108289;0,999052925;0,999052925;0,999052925;0,999052925;0,975434492;0,975434492;0,975434492;0,975434492;0,999071495;0,999071495;0,999071495;0,999071495;0,97843891;0,97843891;0,97843891;0,97843891;0,999127221;0,999127221;0,999127221;0,999127221;0,974093264;0,974093264;0,974093264;0,974093264;0,999090082;0,999090082;0,999090082;0,999090082;0,976926935;0,976926935;0,976926935;0,976926935;0,99920153;0,99920153;0,99920153;0,99920153;0,97826087;0,97826087;0,97826087;0,97826087;0,999090133;0,999090133;0,999090133;0,999090133;1,244057847;0,094960064;0,001736742;0,001736742;0,001736742;0,001736742;6,21E-05;6,21E-05;6,21E-05;6,21E-05;;
3;2,120612359;0,963741994;0,834759501;0,834759501;0,834759501;0,834759501;0,834770699;0,834770699;0,834770699;0,834770699;RandomForestClassifier;;;;;5;10;{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__n_estimators': 10};13;13;13;13;0,848788638;0,848788638;0,848788638;0,848788638;0,848873702;0,848873702;0,848873702;0,848873702;0,832247285;0,832247285;0,832247285;0,832247285;0,832457427;0,832457427;0,832457427;0,832457427;0,832247285;0,832247285;0,832247285;0,832247285;0,832624561;0,832624561;0,832624561;0,832624561;0,832553476;0,832553476;0,832553476;0,832553476;0,832924791;0,832924791;0,832924791;0,832924791;0,838903743;0,838903743;0,838903743;0,838903743;0,838347261;0,838347261;0,838347261;0,838347261;0,832386364;0,832386364;0,832386364;0,832386364;0,832441968;0,832441968;0,832441968;0,832441968;0,832525489;0,832525489;0,832525489;0,832525489;0,83242651;0,83242651;0,83242651;0,83242651;0,832525489;0,832525489;0,832525489;0,832525489;0,832686487;0,832686487;0,832686487;0,832686487;0,832636683;0,832636683;0,832636683;0,832636683;0,832525579;0,832525579;0,832525579;0,832525579;0,83277592;0,83277592;0,83277592;0,83277592;0,832398708;0,832398708;0,832398708;0,832398708;0,041296715;0,125830875;0,00505558;0,00505558;0,00505558;0,00505558;0,005009791;0,005009791;0,005009791;0,005009791;;
4;2,403500915;1,020479798;0,832436407;0,832436407;0,832436407;0,832436407;0,832443836;0,832443836;0,832443836;0,832443836;RandomForestClassifier;;;;;5;20;{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__n_estimators': 20};14;14;14;14;0,832247285;0,832247285;0,832247285;0,832247285;0,832513139;0,832513139;0,832513139;0,832513139;0,832247285;0,832247285;0,832247285;0,832247285;0,832457427;0,832457427;0,832457427;0,832457427;0,832247285;0,832247285;0,832247285;0,832247285;0,832457427;0,832457427;0,832457427;0,832457427;0,832386364;0,832386364;0,832386364;0,832386364;0,832441968;0,832441968;0,832441968;0,832441968;0,832386364;0,832386364;0,832386364;0,832386364;0,832460539;0,832460539;0,832460539;0,832460539;0,832386364;0,832386364;0,832386364;0,832386364;0,832441968;0,832441968;0,832441968;0,832441968;0,832525489;0,832525489;0,832525489;0,832525489;0,83242651;0,83242651;0,83242651;0,83242651;0,832525489;0,832525489;0,832525489;0,832525489;0,83242651;0,83242651;0,83242651;0,83242651;0,832636683;0,832636683;0,832636683;0,832636683;0,832414164;0,832414164;0,832414164;0,832414164;0,83277592;0,83277592;0,83277592;0,83277592;0,832398708;0,832398708;0,832398708;0,832398708;0,059687518;0,106106176;0,000169119;0,000169119;0,000169119;0,000169119;3,00E-05;3,00E-05;3,00E-05;3,00E-05;;
5;2,639357996;0,986857295;0,832436407;0,832436407;0,832436407;0,832436407;0,832436408;0,832436408;0,832436408;0,832436408;RandomForestClassifier;;;;;5;30;{'randomforestclassifier__max_depth': 5, 'randomforestclassifier__n_estimators': 30};14;14;14;14;0,832247285;0,832247285;0,832247285;0,832247285;0,832457427;0,832457427;0,832457427;0,832457427;0,832247285;0,832247285;0,832247285;0,832247285;0,832457427;0,832457427;0,832457427;0,832457427;0,832247285;0,832247285;0,832247285;0,832247285;0,832457427;0,832457427;0,832457427;0,832457427;0,832386364;0,832386364;0,832386364;0,832386364;0,832441968;0,832441968;0,832441968;0,832441968;0,832386364;0,832386364;0,832386364;0,832386364;0,832441968;0,832441968;0,832441968;0,832441968;0,832386364;0,832386364;0,832386364;0,832386364;0,832441968;0,832441968;0,832441968;0,832441968;0,832525489;0,832525489;0,832525489;0,832525489;0,83242651;0,83242651;0,83242651;0,83242651;0,832525489;0,832525489;0,832525489;0,832525489;0,83242651;0,83242651;0,83242651;0,83242651;0,832636683;0,832636683;0,832636683;0,832636683;0,832414164;0,832414164;0,832414164;0,832414164;0,83277592;0,83277592;0,83277592;0,83277592;0,832398708;0,832398708;0,832398708;0,832398708;0,020775386;0,017747786;0,000169119;0,000169119;0,000169119;0,000169119;1,88E-05;1,88E-05;1,88E-05;1,88E-05;;
6;2,331653094;1,032788229;0,85160611;0,85160611;0,85160611;0,85160611;0,850935803;0,850935803;0,850935803;0,850935803;RandomForestClassifier;;;;;10;10;{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 10};10;10;10;10;0,858145363;0,858145363;0,858145363;0,858145363;0,858084644;0,858084644;0,858084644;0,858084644;0,842105263;0,842105263;0,842105263;0,842105263;0,839347063;0,839347063;0,839347063;0,839347063;0,860651629;0,860651629;0,860651629;0,860651629;0,859904548;0,859904548;0,859904548;0,859904548;0,86631016;0,86631016;0,86631016;0,86631016;0,867465181;0,867465181;0,867465181;0,867465181;0,856784759;0,856784759;0,856784759;0,856784759;0,853296193;0,853296193;0,853296193;0,853296193;0,837065508;0,837065508;0,837065508;0,837065508;0,837103064;0,837103064;0,837103064;0,837103064;0,854253719;0,854253719;0,854253719;0,854253719;0,854153126;0,854153126;0,854153126;0,854153126;0,842219622;0,842219622;0,842219622;0,842219622;0,84236133;0,84236133;0,84236133;0,84236133;0,860725631;0,860725631;0,860725631;0,860725631;0,859692125;0,859692125;0,859692125;0,859692125;0,837792642;0,837792642;0,837792642;0,837792642;0,837950756;0,837950756;0,837950756;0,837950756;0,06138123;0,099590827;0,010189968;0,010189968;0,010189968;0,010189968;0,010320548;0,010320548;0,010320548;0,010320548;;
7;2,74232657;1,121146846;0,846475248;0,846475248;0,846475248;0,846475248;0,846063001;0,846063001;0,846063001;0,846063001;RandomForestClassifier;;;;;10;20;{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 20};11;11;11;11;0,838095238;0,838095238;0,838095238;0,838095238;0,837248603;0,837248603;0,837248603;0,837248603;0,854803676;0,854803676;0,854803676;0,854803676;0,854314843;0,854314843;0,854314843;0,854314843;0,837092732;0,837092732;0,837092732;0,837092732;0,836542926;0,836542926;0,836542926;0,836542926;0,856450535;0,856450535;0,856450535;0,856450535;0,85645311;0,85645311;0,85645311;0,85645311;0,847927807;0,847927807;0,847927807;0,847927807;0,845292479;0,845292479;0,845292479;0,845292479;0,832720588;0,832720588;0,832720588;0,832720588;0,832869081;0,832869081;0,832869081;0,832869081;0,858432225;0,858432225;0,858432225;0,858432225;0,859612635;0,859612635;0,859612635;0,859612635;0,852248036;0,852248036;0,852248036;0,852248036;0,852574697;0,852574697;0,852574697;0,852574697;0,854037786;0,854037786;0,854037786;0,854037786;0,852988691;0,852988691;0,852988691;0,852988691;0,832943144;0,832943144;0,832943144;0,832943144;0,832732945;0,832732945;0,832732945;0,832732945;0,063581983;0,100055579;0,009669443;0,009669443;0,009669443;0,009669443;0,009852392;0,009852392;0,009852392;0,009852392;;
8;3,230651546;1,154069138;0,841427951;0,841427951;0,841427951;0,841427951;0,841325804;0,841325804;0,841325804;0,841325804;RandomForestClassifier;;;;;10;30;{'randomforestclassifier__max_depth': 10, 'randomforestclassifier__n_estimators': 30};12;12;12;12;0,843107769;0,843107769;0,843107769;0,843107769;0,841408383;0,841408383;0,841408383;0,841408383;0,832581454;0,832581454;0,832581454;0,832581454;0,832940259;0,832940259;0,832940259;0,832940259;0,842439432;0,842439432;0,842439432;0,842439432;0,840906981;0,840906981;0,840906981;0,840906981;0,851437166;0,851437166;0,851437166;0,851437166;0,851234912;0,851234912;0,851234912;0,851234912;0,834558824;0,834558824;0,834558824;0,834558824;0,83461467;0,83461467;0,83461467;0,83461467;0,836731283;0,836731283;0,836731283;0,836731283;0,836713092;0,836713092;0,836713092;0,836713092;0,850576634;0,850576634;0,850576634;0,850576634;0,852927522;0,852927522;0,852927522;0,852927522;0,842386762;0,842386762;0,842386762;0,842386762;0,841748528;0,841748528;0,841748528;0,841748528;0,847684334;0,847684334;0,847684334;0,847684334;0,848160734;0,848160734;0,848160734;0,848160734;0,83277592;0,83277592;0,83277592;0,83277592;0,832602964;0,832602964;0,832602964;0,832602964;0,079407976;0,099281589;0,006709144;0,006709144;0,006709144;0,006709144;0,00701847;0,00701847;0,00701847;0,00701847;;
9;2,65356741;1,060706377;0,86960591;0,86960591;0,86960591;0,86960591;0,869960679;0,869960679;0,869960679;0,869960679;RandomForestClassifier;;;;;15;10;{'randomforestclassifier__max_depth': 15, 'randomforestclassifier__n_estimators': 10};7;7;7;7;0,869172932;0,869172932;0,869172932;0,869172932;0,870303998;0,870303998;0,870303998;0,870303998;0,858312448;0,858312448;0,858312448;0,858312448;0,856784713;0,856784713;0,856784713;0,856784713;0,886883876;0,886883876;0,886883876;0,886883876;0,885104644;0,885104644;0,885104644;0,885104644;0,878843583;0,878843583;0,878843583;0,878843583;0,882729805;0,882729805;0,882729805;0,882729805;0,891042781;0,891042781;0,891042781;0,891042781;0,889507892;0,889507892;0,889507892;0,889507892;0,844585561;0,844585561;0,844585561;0,844585561;0,846536676;0,846536676;0,846536676;0,846536676;0,879324753;0,879324753;0,879324753;0,879324753;0,878015264;0,878015264;0,878015264;0,878015264;0,861273609;0,861273609;0,861273609;0,861273609;0,86226811;0,86226811;0,86226811;0,86226811;0,866911888;0,866911888;0,866911888;0,866911888;0,867119752;0,867119752;0,867119752;0,867119752;0,859698997;0,859698997;0,859698997;0,859698997;0,861235934;0,861235934;0,861235934;0,861235934;0,078079881;0,153804107;0,013662355;0,013662355;0,013662355;0,013662355;0,013058084;0,013058084;0,013058084;0,013058084;;
