Abreviatura;Logradouro
ACAMP;Acampamento
AC;Acesso
AD;Adro
ERA;Aeroporto
AL;Alameda
AT;Alto
A;Area
AE;Area especial
ART;Arteria
ATL;Atalho
AV;Avenida
AV-CONT;Avenida contorno
BX;Baixa
BLO;Balao
BAL;Balneario
BC;Beco
BELV;Belvedere
BL;Bloco
BSQ;Bosque
BVD;Boulevard
BCO;Buraco
C;Cais
CALC;Calcada
CAM;Caminho
CPO;Campo
CAN;Canal
CHAP;Chacara
CHAP;Chapadao
CIRC;Circular
COL;Colonia
CMP-VR;Complexo viario
COND;Condominio
CJ;Conjunto
COR;Corredor
CRG;Corrego
DSC;Descida
DSV;Desvio
DT;Distrito
EVD;Elevada
ENT-PART;Entrada particular
EQ;Entre quadra
ESC;Escada
ESP;Esplanada
ETC;Estacao
ESTC;Estacionamento
ETD;Estadio
ETN;Estancia
EST;Estrada
EST-MUN;Estrada municipal
FAV;Favela
FAZ;Fazenda
FRA;Feira
FER;Ferrovia
FNT;Fonte
FTE;Forte
GAL;Galeria
GJA;Granja
HAB;Habitacional
IA;Ilha
JD;Jardim
JDE;Jardinete
LD;Ladeira
LG;Lago
LGA;Lagoa
LRG;Largo
LOT;Loteamento
MNA;Marina
MOD;Modulo
TEM;Monte
MRO;Morro
NUC;Nucleo
PDA;Parada
PDO;Paradouro
PAR;Paralela
PRQ;Parque
PSG;Passagem
PSC-SUB;Passagem subterranea
PSA;Passarela
PAS;Passeio
PAT;Patio
PNT;Ponta
PTE;Ponte
PTO;Porto
PC;Praca
PC-ESP;Praça de esportes
PR;Praia
PRL;Prolongamento
Q;Quadra
QTA;Quinta
QTAS;Quinta
RAM;Rama
RMP;Rampa
REC;Recanto
RES;Residencial
RET;Reta
RER;Retiro
RTN;Retorno
ROD-AN;RodoAnel
ROD;Rodovia
RTT;Rotatoria
ROT;Rotula
R;Rua
R-LIG;Rua de ligação
R-PED;Rua de pedrestre
SRV;Servidao
ST;Setor
SIT;Sitio
SUB;Subida
TER;Terminal
TV;Travessa
TV-PART;Travessa particular
TRV;Trecho
TRV;Trevo
TCH;Trincheira
TUN;Tunel
UNID;Unidade
VAL;Vala
VLE;Vale
VRTE;Variante
VER;Vereda
V;Via
V-AC;Via de acesso
V-PED;Via de pedestre
V-EVD;Via elevado
V-EXP;Via expressa
VD;Viaduto
VLA;Viela
VL;Vila
ZIG-ZAG;Zigue-zague
